Assembly	species
GCF_011750605.1_ASM1175060v1	Drosophila busckii
GCF_001277935.1_ASM127793v1	Drosophila busckii
GCA_001014355.1_ASM101435v1	Drosophila busckii
GCA_018903735.1_ASM1890373v1	Drosophila cardini
GCA_018151165.1_ASM1815116v1	Drosophila arawakana
GCA_018152125.1_ASM1815212v1	Drosophila dunni
GCA_018150935.1_ASM1815093v1	Drosophila pruinosa
GCA_018901825.1_ASM1890182v1	Drosophila funebris
GCF_018153295.1_ASM1815329v1	Drosophila grimshawi
GCF_000005155.2_dgri_caf1	Drosophila grimshawi
GCA_018904325.1_ASM1890432v1	Drosophila murphyi
GCA_018904355.1_ASM1890435v1	Drosophila sproati
GCA_021223945.1_ASM2122394v1	Drosophila rubida
GCA_021223785.1_ASM2122378v1	Drosophila immigrans
GCA_018153375.1_ASM1815337v1	Drosophila immigrans
GCA_018152165.1_ASM1815216v1	Drosophila immigrans
GCA_019972415.1_D_albomicans_1.0	Drosophila albomicans
GCA_016746445.1_UOM_Dnalb_Oki_v1	Drosophila albomicans
GCF_009650485.1_drosAlbom15112-1751.03v1	Drosophila albomicans
GCA_000298335.1_DroAlb_1.0	Drosophila albomicans
GCA_001014995.1_ASM101499v1	Drosophila albomicans
GCA_019972355.1_D_kohkoa_1.0	Drosophila kohkoa
GCA_019969175.1_DnC3_UoM_v1	Drosophila nasuta
GCA_019972435.1_D_nasuta_1.0	Drosophila nasuta
GCA_016747895.2_UoM_Dnnas_Coorg_v2	Drosophila nasuta
GCA_018153855.1_DnFC1_UoM_v1	Drosophila nasuta
GCA_018144315.1_DnC9_UoM_v1	Drosophila nasuta
GCA_018142975.1_DnC2_UoM_v1	Drosophila nasuta
GCA_017165715.1_DnONT_UoM_v1	Drosophila nasuta
GCA_016747895.1_UOM_Dnnas_Coorg_v1	Drosophila nasuta
GCA_002222885.1_ASM222288v1	Drosophila nasuta
GCA_005889595.1_DR_NNAS_KL_v1	Drosophila neonasuta
GCA_021223965.1_ASM2122396v1	Drosophila sulfurigaster
GCA_018150725.1_ASM1815072v1	Drosophila quadrilineata
GCA_004143785.1_ASM414378v1	Drosophila melanica
GCA_004143765.1_ASM414376v1	Drosophila melanica
GCA_004143905.1_ASM414390v1	Drosophila micromelanica
GCA_004143825.1_ASM414382v1	Drosophila micromelanica
GCA_004149465.1_ASM414946v1	Drosophila nigromelanica
GCA_004149445.1_ASM414944v1	Drosophila nigromelanica
GCA_020883555.1_orgogozo-p-161206-1	Drosophila nannoptera
GCA_020883565.1_orgogozo-p-171030-0	Drosophila pachea
GCA_004354385.2_ASM435438v2	Drosophila innubila
GCF_004354385.1_UK_Dinn_1.0	Drosophila innubila
GCF_003285905.1_DhydRS2	Drosophila hydei
GCA_003285905.1_DhydRS1	Drosophila hydei
GCF_002780465.1_ASM278046v1	Drosophila hydei
GCF_001654025.1_ASM165402v1	Drosophila arizonae
GCF_018153725.1_ASM1815372v1	Drosophila mojavensis
GCF_000005175.2_dmoj_caf1	Drosophila mojavensis
GCF_001654015.2_UFRJ_Dnav_4.2	Drosophila navojoa
GCF_001654015.1_ASM165401v1	Drosophila navojoa
GCA_018903745.1_ASM1890374v1	Drosophila repleta
GCA_004143865.1_ASM414386v1	Drosophila lacertosa
GCA_004143845.1_ASM414384v1	Drosophila lacertosa
GCA_004143875.1_ASM414387v1	Drosophila robusta
GCA_004143805.1_ASM414380v1	Drosophila robusta
GCA_018150835.1_ASM1815083v1	Drosophila repletoides
GCA_019972395.1_D_americana_1.0	Drosophila americana
GCA_019972375.1_D_texana_1.0	Drosophila americana
GCA_018152915.1_ASM1815291v1	Drosophila americana
GCA_900465395.1_ASM90046539v1	Drosophila americana
GCA_001245395.1_D._americana_H5_strain_genome_assembly	Drosophila americana
GCA_001245305.1_D._americana_W11_strain_genome_assembly	Drosophila americana
GCA_018903485.1_ASM1890348v1	Drosophila littoralis
GCA_003086615.1_ASM308661v1	Drosophila montana
GCA_019972335.1_D_novamexicana_1.0	Drosophila novamexicana
GCA_900465405.1_ASM90046540v1	Drosophila novamexicana
GCF_003285875.2_DnovRS2.1	Drosophila novamexicana
GCA_003285875.2_DnovRS2	Drosophila novamexicana
GCA_003285875.1_DnovRS1	Drosophila novamexicana
GCA_018153695.1_ASM1815369v1	Drosophila virilis
GCA_016920725.1_Dvir_9	Drosophila virilis
GCA_007989325.2_ASM798932v2	Drosophila virilis
GCA_007989325.1_vir160	Drosophila virilis
GCF_003285735.1_DvirRS2	Drosophila virilis
GCA_003285735.1_DvirRS1	Drosophila virilis
GCA_000004125.1_ASM412v1	Drosophila virilis
GCF_000005245.1_dvir_caf1	Drosophila virilis
GCF_017639315.1_ASM1763931v2	Drosophila ananassae
GCA_018148915.1_ASM1814891v1	Drosophila ananassae
GCA_017639315.1_ASM1763931v1	Drosophila ananassae
GCF_003285975.2_DanaRS2.1	Drosophila ananassae
GCA_003285975.2_DanaRS2	Drosophila ananassae
GCA_003285975.1_DanaRS1	Drosophila ananassae
GCF_000005115.1_dana_caf1	Drosophila ananassae
GCA_021223765.1_ASM2122376v1	Drosophila bipectinata
GCF_018153845.1_ASM1815384v1	Drosophila bipectinata
GCA_002222825.1_ASM222282v1	Drosophila bipectinata
GCF_000236285.1_Dbip_2.0	Drosophila bipectinata
GCA_018150545.1_ASM1815054v1	Drosophila ercepeae
GCA_021223825.1_ASM2122382v1	Drosophila ironensis
GCA_018153275.1_ASM1815327v1	Drosophila malerkotliana
GCA_018153235.1_ASM1815323v1	Drosophila malerkotliana
GCA_021223865.1_ASM2122386v1	Drosophila pandora
GCA_018153455.1_ASM1815345v1	Drosophila parabipectinata
GCA_021223845.1_ASM2122384v1	Drosophila pseudoananassae
GCA_018153145.1_ASM1815314v1	Drosophila pseudoananassae
GCA_018153035.1_ASM1815303v1	Drosophila pseudoananassae
GCA_018150405.1_ASM1815040v1	Drosophila varians
GCF_018152505.1_ASM1815250v1	Drosophila elegans
GCA_011057505.1_D.elegans_HK_3.0	Drosophila elegans
GCF_000224195.1_Dele_2.0	Drosophila elegans
GCA_011057485.1_D_gunungcola_WGS_1.0	Drosophila gunungcola
GCF_018153835.1_ASM1815383v1	Drosophila eugracilis
GCF_000236325.1_Deug_2.0	Drosophila eugracilis
GCF_018152265.1_ASM1815226v1	Drosophila ficusphila
GCF_000220665.1_Dfic_2.0	Drosophila ficusphila
GCA_018904525.1_ASM1890452v1	Drosophila erecta
GCF_003286155.1_DereRS2	Drosophila erecta
GCA_003286155.1_DereRS1	Drosophila erecta
GCF_000005135.1_dere_caf1	Drosophila erecta
GCA_018904475.1_ASM1890447v1	Drosophila mauritiana
GCF_004382145.1_ASM438214v1	Drosophila mauritiana
GCA_927718685.1_dmsj7_genome_assembly	Drosophila melanogaster
GCA_927717585.1_dmgoth101_genome_assembly	Drosophila melanogaster
GCA_927718715.1_dmsj23_genome_assembly	Drosophila melanogaster
GCA_927720205.1_dmgoth63_genome_assembly	Drosophila melanogaster
GCA_020169495.1_ASM2016949v1	Drosophila melanogaster
GCA_020141985.1_ASM2014198v1	Drosophila melanogaster
GCA_020142045.1_ASM2014204v1	Drosophila melanogaster
GCA_020142105.1_ASM2014210v1	Drosophila melanogaster
GCA_020142085.1_ASM2014208v1	Drosophila melanogaster
GCA_020142055.1_ASM2014205v1	Drosophila melanogaster
GCA_020142025.1_ASM2014202v1	Drosophila melanogaster
GCA_020142005.1_ASM2014200v1	Drosophila melanogaster
GCA_020141955.1_ASM2014195v1	Drosophila melanogaster
GCA_020141935.1_ASM2014193v1	Drosophila melanogaster
GCA_020141875.1_ASM2014187v1	Drosophila melanogaster
GCA_020141925.1_ASM2014192v1	Drosophila melanogaster
GCA_020141815.1_ASM2014181v1	Drosophila melanogaster
GCA_020141835.1_ASM2014183v1	Drosophila melanogaster
GCA_020141855.1_ASM2014185v1	Drosophila melanogaster
GCA_020141845.1_ASM2014184v1	Drosophila melanogaster
GCA_020141765.1_ASM2014176v1	Drosophila melanogaster
GCA_020141795.1_ASM2014179v1	Drosophila melanogaster
GCA_020141735.1_ASM2014173v1	Drosophila melanogaster
GCA_020141745.1_ASM2014174v1	Drosophila melanogaster
GCA_020141705.1_ASM2014170v1	Drosophila melanogaster
GCA_020141655.1_ASM2014165v1	Drosophila melanogaster
GCA_020141665.1_ASM2014166v1	Drosophila melanogaster
GCA_020141585.1_ASM2014158v1	Drosophila melanogaster
GCA_020141675.1_ASM2014167v1	Drosophila melanogaster
GCA_020141575.1_ASM2014157v1	Drosophila melanogaster
GCA_020141625.1_ASM2014162v1	Drosophila melanogaster
GCA_020141595.1_ASM2014159v1	Drosophila melanogaster
GCA_020141515.1_ASM2014151v1	Drosophila melanogaster
GCA_020141495.1_ASM2014149v1	Drosophila melanogaster
GCA_020141505.1_ASM2014150v1	Drosophila melanogaster
GCA_020141485.1_ASM2014148v1	Drosophila melanogaster
GCA_018904365.1_ASM1890436v1	Drosophila melanogaster
GCA_015852585.1_ASM1585258v1	Drosophila melanogaster
GCA_015832445.1_ASM1583244v1	Drosophila melanogaster
GCA_012273825.1_UCSC_dm_H3	Drosophila melanogaster
GCA_009869825.1_ASM986982v1	Drosophila melanogaster
GCA_004798075.2_ASM479807v2	Drosophila melanogaster
GCA_004798055.1_DGRP379	Drosophila melanogaster
GCA_004798075.1_DGRP732	Drosophila melanogaster
GCA_003397115.2_ASM339711v2	Drosophila melanogaster
GCA_003402005.1_ASM340200v1	Drosophila melanogaster
GCA_003401975.1_ASM340197v1	Drosophila melanogaster
GCA_003401925.1_ASM340192v1	Drosophila melanogaster
GCA_003401915.1_ASM340191v1	Drosophila melanogaster
GCA_003401885.1_ASM340188v1	Drosophila melanogaster
GCA_003401855.1_ASM340185v1	Drosophila melanogaster
